"","IUID","pop"
"1672",0,0
"1673",0,0
"1674",0,0
"1675",0,0
"1676",1,174292
"1677",0,0
"1678",1,269169
"1679",1,156824
"1680",0,0
"1681",0,0
"1682",0,0
"1683",0,0
"1684",0,0
"1685",1,288019
"1686",1,226196
"1687",1,178331
"1688",1,81004
"1689",0,0
"1690",1,51820
"1691",0,0
"1692",0,0
"1693",1,92037
"1694",0,0
"1695",0,0
"1696",1,164149
"1697",1,151222
"1698",0,0
"1699",0,0
"1700",0,0
"1701",0,0
"1702",0,0
"1703",0,0
"1704",0,0
"1705",0,0
"1706",0,0
"1707",0,0
"1708",1,716495
"1709",1,349730
"1710",1,140007
"1711",0,0
"1712",1,192450
"1713",0,0
"1714",0,0
"1715",0,0
"1716",0,0
"1717",0,0
"1718",1,652012
"1719",1,576634
"1720",0,0
"1721",1,121276
"1722",1,109919
"1723",1,287683
"1724",1,205224
"1725",1,155185
"1726",1,189561
"1727",1,89630
"1728",1,89607
"1729",0,0
"1730",0,0
"1731",1,57232
"1732",0,0
"1733",0,0
"1734",0,0
"1735",1,1561599
"1736",1,536844
"1737",0,0
"1738",1,205430
"1739",1,200499
"1740",1,162519
"1741",1,189561
"1742",0,0
